PropertyRoomTypeID|RoomType
12042|Single
12048|Single
12072|Single
12078|Single
12084|Single
12090|Single
12096|Single
12102|Single
12108|Single
12114|Single
12120|Single
12126|Single
12138|Single
12144|Single
12150|Single
12156|Single
12174|Single
12180|Single
12186|Single
12198|Single
12216|Single
12222|Single
12234|Single
12240|Single
12246|Single
12252|Single
12258|Single
12264|Single
12270|Single
12276|Single
12282|Single
12288|Single
12294|Single
12300|Single
12306|Single
12318|Single
12330|Single
12336|Single
12360|Single
12366|Single
12372|Single
12384|Single
12390|Single
12402|Single
12420|Single
12426|Single
12450|Single
12456|Single
12462|Single
12475|Single
12486|Single
12492|Single
12504|Single
12510|Single
12516|Single
12528|Single
12534|Single
12540|Single
12546|Single
12556|Single
12564|Single
12578|Single
12583|Single
12589|Single
12598|Single
12645|Single
12677|Single
12707|Single
12730|Single
12731|Single
12740|Single
12752|Single
12772|Single
12776|Single
12782|Single
12815|Single
12828|Single
12845|Single
12849|Single
12881|Single
12918|Single
12954|Single
12955|Single
12964|Single
12965|Single
12990|Single
13006|Single
13011|Single
13021|Single
13027|Single
13028|Single
13044|Single
13049|Single
13054|Single
13059|Single
13063|Single
13073|Single
13119|Single
13126|Single
13141|Single
13145|Single
13155|Single
13167|Single
13173|Single
13180|Single
13186|Single
13198|Single
13202|Single
13206|Single
13211|Single
13224|Single
13234|Single
13241|Single
13247|Single
13281|Single
13286|Single
13295|Single
13304|Single
13317|Single
13322|Single
13331|Single
13332|Single
13353|Single
13377|Single
13384|Single
13397|Single
13403|Single
13493|Single
13513|Single
13517|Single
13529|Single
13533|Single
13564|Single
13580|Single
13633|Single
13647|Single
13652|Single
13663|Single
13669|Single
13679|Single
13685|Single
13690|Single
13695|Single
13713|Single
13726|Single
13747|Single
13756|Single
13763|Single
13773|Single
13816|Single
13827|Single
13833|Single
13839|Single
13845|Single
13853|Single
13859|Single
13862|Single
13904|Single
13908|Single
13918|Single
13923|Single
13945|Single
13968|Single
14057|Single
14062|Single
14079|Single
14088|Single
14103|Single
14109|Single
14116|Single
14121|Single
14127|Single
14133|Single
14134|Single
14142|Single
14145|Single
14156|Single
14188|Single
14193|Single
14202|Single
14211|Single
14234|Single
14239|Single
14252|Single
14274|Single
14290|Single
14300|Single
14312|Single
14317|Single
14325|Single
14329|Single
14334|Single
14408|Single
14413|Single
14462|Single
14473|Single
14479|Single
14484|Single
14489|Single
14493|Single
14501|Single
14516|Single
14521|Single
14529|Single
14536|Single
14541|Single
14546|Single
14552|Single
14557|Single
14562|Single
14567|Single
14570|Single
14576|Single
14582|Single
14588|Single
14596|Single
14607|Single
14616|Single
14621|Single
14632|Single
14637|Single
14642|Single
14647|Single
14652|Single
14664|Single
14669|Single
14679|Single
14699|Single
14728|Single
14740|Single
14759|Single
14763|Single
14767|Single
14771|Single
14779|Single
14835|Single
14849|Single
14859|Single
14881|Single
14886|Single
14912|Single
14917|Single
14918|Single
14930|Single
14943|Single
14949|Single
14956|Single
14961|Single
14966|Single
14970|Single
14979|Single
14984|Single
14989|Single
14997|Single
15001|Single
15007|Single
15025|Single
15031|Single
15037|Single
15043|Single
15052|Single
15070|Single
15081|Single
15086|Single
15091|Single
15096|Single
15102|Single
15107|Single
15119|Single
15138|Single
15142|Single
15146|Single
15167|Single
15185|Single
15194|Single
15198|Single
15212|Single
15218|Single
15223|Single
15249|Single
15283|Single
15314|Single
15331|Single
15339|Single
15343|Single
15353|Single
15361|Single
15366|Single
15373|Single
15378|Single
15388|Single
15393|Single
15398|Single
15404|Single
15409|Single
15414|Single
15532|Single
15539|Single
15544|Single
15554|Single
15564|Single
15569|Single
15585|Single
15590|Single
15607|Single
15616|Single
15632|Single
15649|Single
15654|Single
15671|Single
15677|Single
15682|Single
15687|Single
15692|Single
15697|Single
15702|Single
15707|Single
15711|Single
15725|Single
15774|Single
15785|Single
15792|Single
15797|Single
15801|Single
15805|Single
15811|Single
15827|Single
15833|Single
15838|Single
15846|Single
15858|Single
15863|Single
15875|Single
15879|Single
15883|Single
15897|Single
15908|Single
15919|Single
15927|Single
15953|Single
15968|Single
15978|Single
15983|Single
16003|Single
16036|Single
16052|Single
16065|Single
16076|Single
16110|Single
16120|Single
16141|Single
16153|Single
16158|Single
16172|Single
16185|Single
16196|Single
16200|Single
16221|Single
16233|Single
16243|Single
16252|Single
16263|Single
16268|Single
16274|Single
16279|Single
16284|Single
16296|Single
16301|Single
16333|Single
16337|Single
16345|Single
16355|Single
16356|Single
16363|Single
16369|Single
16377|Single
16382|Single
16385|Single
16392|Single
16398|Single
16407|Single
16420|Single
16430|Single
16456|Single
16464|Single
16469|Single
16473|Single
16478|Single
16484|Single
16489|Single
16494|Single
16499|Single
16504|Single
16509|Single
16513|Single
16517|Single
16522|Single
16528|Single
16533|Single
16541|Single
16546|Single
16551|Single
16555|Single
16560|Single
16565|Single
16569|Single
16577|Single
16588|Single
16597|Single
16602|Single
16606|Single
16611|Single
16627|Single
16637|Single
16666|Single
16677|Single
16682|Single
16708|Single
16717|Single
16731|Single
16748|Single
16760|Single
16814|Single
16820|Single
16830|Single
16834|Single
16859|Single
16873|Single
16886|Single
16890|Single
16919|Single
16926|Single
16984|Single
